City State Population PopChange PopDens Under5 Over65 Asian Black Hispanic Birth InfantD CarD HeartD Income Poverty Unemploy Grants BankpP HousepP
Dubuque__IA_MSA IA 88084 1.9 144.8 6.4 13.9 0.7 0.5 0.7 13.4 5.9 20.6 422.5 19895 10.2 5.7 3250 11529.9 31.6
Duluth_Superior__MN_WI_MSA MN 238184 -0.7 31.6 5.4 16.9 0.8 0.7 0.6 11 7.2 12.8 451.4 18377 14.4 5.6 4622 8382.6 22.4
Eau_Claire__WI_MSA WI 143486 4.3 87.1 6.4 13.3 2.3 0.2 0.6 12.5 7.3 12.1 337.2 18001 12.4 3.7 4052 6843.2 34
El_Paso__TX_MSA TX 701576 18.6 692.5 9.6 8.5 1.4 3.6 73.5 23.4 5.7 18.6 190.7 12941 30.2 11.6 4535 4470.4 27
Elkhart_Goshen__IN_MSA IN 170725 9.3 368.1 8.3 11.3 0.8 5 2.4 16.4 8.9 16.3 334.5 20795 9.8 3.9 2472 9020.9 38.1
Elmira__NY_MSA NY 93088 -2.2 228 7.1 15.6 1 6.1 1.8 12.4 8.5 16.8 433 18891 13.9 4.3 4170 8437.2 9.4
Enid__OK_MSA OK 56699 -0.1 53.6 6.7 15.7 1.2 3.7 2.4 13.2 6.7 19.5 419.5 18506 16.2 3.4 6191 9825.6 9.7
Erie__PA_MSA PA 279401 1.4 348.4 6.8 14.3 0.7 6 1.6 14 7.6 11.8 410.1 19254 13.9 5.8 3984 9157.1 20.9
Eugene_Springfield__OR_MSA OR 311356 10.1 68.4 6.2 12.9 2.4 0.9 3.4 11.9 7.3 12 311.9 19167 15 5.8 3745 6853.2 40.3
Evansville_Henderson__IN_KY_MSA IN 288929 3.6 196.9 6.8 14 0.6 6.1 0.6 13.3 8.9 18 397.1 20888 12.5 4.5 3840 10802 29.4
Fargo_Moorhead__ND_MN_MSA ND 166396 8.5 59.2 6.3 10.9 1.3 0.4 1.7 13.6 7.7 13.9 282.8 19496 11.6 2.5 3716 8276.6 61.6
Fayetteville__NC_MSA NC 284047 3.4 434.9 9.4 6.3 3.1 31.9 7.6 19.7 10 20.9 225.5 16784 15.5 4.7 10181 4686.2 53.8
Fayetteville_Springdale_Rogers__AR_MSA AR 266980 26.6 148.9 7 14.1 0.9 0.9 2.7 15.2 7.5 21.3 344.6 19008 10.8 2.9 3359 11026.7 77.2
Flagstaff__AZ_UT_MSA AZ 119547 17.5 5.3 8.3 6.4 1.1 1.7 11.3 16 8.2 25.1 149.7 15858 21.7 8.6 3994 4195 55.1
Florence__AL_MSA AL 137288 4.5 108.6 6.3 14.8 0.3 13 0.5 13 5.7 29.9 441.8 17380 14.4 6.2 4846 11569.1 23.1
Florence__SC_MSA SC 124379 8.8 155.6 6.8 11.6 0.3 39.6 0.5 14.2 14.5 22 416.1 17625 21.4 8.4 3849 7525.4 36.3
Fort_Collins_Loveland__CO_MSA CO 226021 21.4 86.9 6.7 9.9 1.8 0.7 7.5 13.1 7.6 14.6 214.9 20169 10.8 3.8 2975 7568.3 74.4
Fort_Myers_Cape_Coral__FL_MSA FL 387091 15.5 481.7 6.1 24.8 0.9 7.8 5.9 11.7 6 21.5 480.7 22056 12.3 3.7 4991 12638.4 86.9
Fort_Pierce_Port_St._Lucie__FL_MSA FL 295646 17.8 262.1 6.4 23.4 1 14.3 5.6 12 8.4 19.1 489.1 22565 13.9 10.3 5113 9018.6 72.9
Fort_Smith__AR_OK_MSA AR 192395 9.4 106.5 7.3 13.1 2.7 4.2 2.3 15.3 5.3 18.8 449.6 16963 17.6 5.3 3870 9650.5 28.3
Fort_Walton_Beach__FL_MSA FL 167580 16.6 179.1 7.9 9.2 3.8 10.3 4.2 15.1 6.6 13.7 260.8 18960 11.2 3.9 12331 8979 71.5
Fort_Wayne__IN_MSA IN 477536 4.7 195.1 7.7 12.1 0.9 7.3 2.2 16 7.9 16.2 393.9 21333 10.2 3.5 3917 9537.3 36.8
Fresno__CA_MSA CA 868703 15 107.2 10 10.8 9.3 5 41.2 20.9 9.2 30 275.2 17105 27.2 13.1 3511 4997 43.2
Gadsden__AL_MSA AL 104313 4.5 195.1 5.9 16.3 0.4 14.5 0.5 13.1 10.5 18 502.5 17008 17.9 5.3 4410 8162 15.6
Gainesville__FL_MSA FL 198326 9.2 226.8 6.7 9.5 3.5 21.8 4.7 12.9 12.1 14.3 210 19407 20.2 2.8 4711 7464 55.4
Glens_Falls__NY_MSA NY 122582 3.4 71.9 7.1 14.4 0.5 2 1.8 13.4 6.1 17.4 381.5 18226 11.4 6.3 3513 9750.2 32.4
Goldsboro__NC_MSA NC 111981 7 202.6 7.6 10.4 1.2 33.1 2.1 14.7 12.5 18.6 348.3 15770 17.5 4.8 5826 7324.5 29.2
Grand_Forks__ND_MN_MSA ND 101700 -1.5 29.8 7 12 1.3 1.7 2.9 14.9 5.8 10.6 344.8 17579 13.9 3.4 5613 7951.8 20.2
Grand_Junction__CO_MSA CO 110681 18.8 33.3 6.4 14.7 0.9 0.5 9.2 12.6 5.4 24.5 363.1 18193 14.2 5.4 3977 6554.9 44
Grand_Rapids_Muskegon_Holland__MI_MSA MI 1026295 9.4 372 8 11.5 1.2 7.5 3.7 15.8 7.9 14.6 294 21665 11.6 4.1 3041 9933.4 41.3
Great_Falls__MT_MSA MT 79134 1.9 29.3 7 12.7 1.1 1.6 2 15 9 15.1 300.4 18879 13.8 4.7 12253 6647 9.9
Green_Bay__WI_MSA WI 214244 10.1 405.2 6.9 10.8 1.7 0.6 1 14.7 9.2 11.4 318.2 21835 8.7 3 3023 11473.8 58.3
Greensboro__Winston_Salem__High_Point__NC_MSA NC 1152779 9.8 296.9 6.6 12.9 1 19.6 1.2 13.4 9.9 16 374.5 21786 11.3 3.3 3828 13392.4 44.6
Greenville__NC_MSA NC 121057 11.6 185.8 7.2 10.3 1 34.3 1.4 14.8 16.3 13.3 307.4 18542 22 5 3368 7927.7 80
